sub,state,city,age,sdacown,sdacee,sdacnotnec,sdacwant,sdacss,sdacnotworth,sdacqol,sdacnotbad,sdacee2x,siwastee,sidivest,sirenslow,sirenair,siglobal,siccdrastic,sisoc,sicccit,siccgov,siccrich,siccus,sicclux,sieeworth,siwestcut,siev,sisolar,sisolarenv,sifoodwaste,simeat,sidevair,siairpol,sinewbldg,sirenter,sirichstd,sisuccess,sicomfort,sisaving,siwaste,dacown,dacee,dacee2x,dacnotnec,dacss,dacnotworth,dacqol,dacnotbad,pacee2x,pacnotnec,pacss,pacnotworth,pacqol,pacnotbad,bacvsother,bpayeeac,bpubtrans,attention,gender,gender_text,race,race_text,edu,edu_text,employ,marital,income,income_text,home,monthlyexp,residence,politics,party,class,n4wheel,n2wheel,time
R_29gIfc3mSS9KZw6,33,Loudonville,80,4,5,2,6,6,2,6,6,3,2,3,5,4,3,4,6,5,4,3,4,2,3,5,4,2,3,3,2,2,2,5,6,7,4,6,5,4,2,5,5,2,6,2,6,6,4,1,7,1,7,7,7,1,1,5,2,,2,,8,,homemaker,2,12,,1,3000,2,1,2,2,3,0,961
R_2vjI6Pb8dexxWY5,33,New York ,32,4,3,3,4,3,4,3,4,4,4,2,4,3,4,3,3,4,4,4,4,4,3,3,4,4,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,5,1,,3,,4,,private,2,7,,2,500,1,4,1,3,1,0,496
R_3QKOtiO3z4pPVge,45,Houston,60,3,3,1,2,3,1,3,2,2,3,3,2,3,5,2,4,5,5,4,4,4,4,3,2,2,6,1,3,4,6,7,2,3,4,6,2,7,1,4,3,3,1,4,2,4,4,1,4,5,6,3,2,1,4,5,2,,4,,3,,private,2,10,,1,1400,2,2,2,3,0,0,754
R_2R4J4hgqxTjHdTu,45,Pasadena,29,5,3,5,6,5,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,5,5,6,6,6,6,6,6,5,3,5,5,2,,2,,6,,self,1,11,,2,3000,2,2,2,3,2,0,421
R_331grs23pCneWsA,45,Houston,33,7,7,6,7,7,1,7,6,7,2,6,5,6,1,7,6,1,7,7,7,1,2,7,7,7,6,1,1,7,6,7,6,2,5,1,7,7,6,6,6,5,6,7,7,4,7,3,3,4,4,4,4,1,4,5,2,,9,,2,,homemaker,2,5,,2,2200,1,1,3,5,1,1,1813
R_247UqHFiNk53du1,33,Wyandanch,39,4,7,1,5,4,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,5,2,,"2,3",,8,,private,1,11,,2,600,2,4,1,4,0,0,1942
R_2wiZOziWhSWIzzu,45,El Campo,30,4,3,1,5,2,3,3,4,2,6,5,5,3,3,4,6,6,5,4,3,3,4,3,2,2,3,6,2,3,2,3,3,5,3,4,3,2,5,3,3,3,6,3,5,5,6,4,2,2,3,4,4,1,1,5,2,,4,,2,,homemaker,2,4,,1,1200,2,4,1,4,4,0,1219
R_3IPFNjUGguVNJ69,45,Houston ,32,7,3,2,7,1,1,7,7,3,6,3,3,4,2,6,6,3,6,3,5,4,5,4,3,3,4,2,3,4,3,4,2,6,2,6,3,4,4,2,2,1,4,2,4,6,1,1,4,1,6,7,4,0,2,5,1,,3,,4,,unemploy,3,1,,2,1800,1,4,3,2,2,0,1759
R_2cijXIKhOwQYKc5,45,Plano,34,6,3,2,7,2,2,6,2,2,2,4,3,3,4,3,6,3,4,4,4,3,5,4,3,2,4,5,3,4,3,4,2,5,5,4,4,2,6,4,4,1,2,1,7,2,3,1,4,1,7,2,6,1,4,5,2,,2,,8,,private,2,9,,2,3000,2,4,1,3,2,0,1783
R_RfRDLNFMd9yY73X,45,longview,63,7,4,1,7,3,1,7,7,7,2,2,5,5,5,6,5,6,2,1,6,1,2,2,2,2,2,1,2,7,7,7,6,5,1,6,6,7,4,4,4,1,4,1,7,3,6,2,2,1,7,6,7,2,1,5,2,,3,,5,,handi,3,2,,2,1000,3,4,1,5,1,0,2257
R_2zYHt546lhvsKic,45,Fort Worth,64,6,5,7,7,7,5,7,6,5,4,4,4,3,4,4,6,6,5,4,4,2,4,5,3,3,3,5,6,5,6,6,5,6,5,6,5,4,7,4,4,1,5,4,6,2,1,1,6,2,7,1,4,0,1,5,2,,3,,4,,gov,5,7,,1,150,1,6,1,3,1,1,1961
R_29iijF6IirdzTwT,33,Bronx,28,3,4,2,6,7,6,4,2,5,6,1,2,6,4,5,6,1,5,4,5,6,4,5,6,4,4,2,2,2,4,6,3,4,2,5,1,6,6,6,5,2,2,2,6,6,6,3,5,2,6,6,2,3,7,5,2,,3,,7,,self,1,5,,1,1375,1,4,1,4,0,0,1208
R_3OkvdO5ZzxYUedk,33,New York ,32,6,5,1,7,2,4,4,4,4,6,4,3,4,2,4,5,4,4,4,4,2,5,2,3,3,3,2,2,2,4,4,3,6,3,6,6,5,6,5,6,2,3,3,4,2,6,2,2,2,5,2,4,1,5,5,2,,2,,11,,private,2,10,,1,5000,1,4,1,3,2,2,1183
R_3GkcBfkkcdDBMgF,45,El paso,51,7,6,1,7,2,1,7,2,6,2,4,4,1,2,6,6,5,6,6,6,2,1,5,1,5,2,3,5,5,6,6,2,6,5,1,6,1,7,5,2,1,1,1,1,5,5,1,1,1,7,1,7,1,4,5,2,,4,,2,,self,2,5,,1,300,1,4,2,3,3,0,2837
R_2Vw5FvRHpTKMeYT,45,Richardson,36,5,2,1,7,7,2,7,7,2,3,5,6,2,6,2,5,5,3,4,3,5,6,2,3,2,6,4,2,2,2,2,7,7,1,7,7,2,7,2,1,1,6,2,6,6,6,5,3,3,5,3,6,1,2,5,2,,2,,6,,homemaker,2,10,,2,2000,2,7,3,3,1,0,1980
R_2zMGOckx31TkSes,45,Dallas,43,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,3,4,3,5,3,3,5,3,4,6,3,4,4,5,3,5,4,6,1,4,4,4,3,3,5,5,4,4,4,4,4,5,4,2,4,5,2,,4,,4,,private,4,5,,2,1500,1,4,3,5,1,0,898
R_3JsZLJlPRm0Yg1l,45,Dallas,21,5,4,1,7,4,2,5,2,3,3,4,5,3,4,4,2,3,4,5,3,3,4,5,4,3,3,4,4,4,4,4,3,3,3,2,4,4,4,2,2,4,1,2,6,2,2,2,1,2,6,5,5,1,5,5,2,,3,,5,,student,1,5,,2,450,2,6,1,3,1,0,906
R_216NNsByDTFyCEb,33,Irving,49,6,4,3,6,3,3,3,4,3,3,3,3,3,2,4,3,2,6,2,5,2,3,3,3,3,3,5,3,3,3,4,2,3,4,3,3,3,5,6,5,4,4,4,5,4,5,3,1,4,5,4,6,1,2,5,2,,1,,4,,gov,1,8,,1,1400,3,4,3,5,0,0,727
R_2SJNBwnCORP27ci,33,Little Neck,19,6,4,3,7,1,3,5,4,3,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,5,2,,2,,5,,student,1,5,,2,1500,1,7,1,5,1,0,381
R_3Rjy85NzrX3fDdn,45,Houston,28,5,2,3,5,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,5,4,4,2,1,5,2,,"3,7",,6,,private,1,6,,2,1700,1,4,3,4,1,0,441
R_31AeKULp6Oc2cRk,33,Brooklyn ,35,5,2,5,6,6,3,6,5,2,2,5,5,3,5,2,6,6,3,6,3,5,5,2,5,3,5,6,2,2,3,3,6,6,5,6,6,2,6,5,3,2,6,2,6,5,3,6,6,2,2,5,2,1,6,5,2,,3,,6,,self,1,9,,2,500,1,4,3,3,1,0,1101
R_3qNY6K7MqQSOiku,45,Fort Worth,49,2,6,2,7,2,2,6,6,4,4,4,4,4,4,4,3,4,4,2,4,2,3,2,3,5,2,2,3,3,3,4,2,5,2,4,4,2,5,5,5,4,2,3,5,6,7,1,4,1,7,7,5,5,1,5,2,,3,,4,,unemploy,1,6,,2,300,2,4,3,4,1,0,861
R_RLbEcIVTCQj3Ehr,33,cambria heights,20,2,2,1,2,2,2,2,2,2,4,3,2,2,2,3,6,2,4,6,4,2,3,2,2,2,5,2,2,2,2,3,7,6,6,7,4,7,6,6,2,6,4,3,5,1,6,6,6,3,5,3,7,3,7,5,1,,3,,2,,self,1,4,,2,1000,2,7,1,4,0,0,2107
R_3plPONedmEJh4N1,45,Dallas,35,6,5,2,6,2,3,7,1,6,2,1,1,6,1,6,2,2,6,2,7,1,2,2,6,2,1,3,6,2,6,6,6,7,6,4,2,6,5,6,6,2,5,1,7,6,2,2,2,3,5,2,6,1,7,5,1,,3,,6,,private,2,12,,1,3500,1,6,3,3,2,1,1198
R_2zDdzKjFfTePeK1,45,dallas,30,6,7,1,7,1,1,7,2,4,4,6,5,6,3,5,6,6,6,5,4,5,4,3,3,5,3,3,3,3,5,3,4,4,3,4,4,2,7,5,6,5,6,6,6,6,5,6,7,4,6,7,6,4,7,5,1,,3,,4,,unemploy,1,5,,3,25000,2,2,2,3,1,0,938
R_8AfO3jyyJ2kDYel,45,Houston,65,5,4,1,7,4,1,7,2,5,5,5,2,5,6,4,2,2,5,3,5,2,3,2,2,4,2,2,2,2,3,4,3,5,2,2,3,2,1,5,3,1,4,2,6,4,5,1,2,2,1,2,6,1,1,5,1,,8,multi-racial,6,,private,2,12,,1,5000,2,4,3,3,2,0,2553
R_3qJYFWVRhF8EPIl,33,Niagara Falls ,51,6,4,2,6,3,2,5,4,4,5,3,3,5,3,4,4,3,4,2,4,3,3,4,4,4,3,2,3,4,5,4,3,6,4,5,4,6,5,5,5,4,2,4,3,4,4,2,2,2,3,5,6,1,1,5,1,,3,,2,,retire,1,3,,2,400,1,6,1,4,1,0,856
R_3EFlRmulhrjJFkn,45,Dallas,27,7,4,1,7,2,1,7,1,4,6,4,3,6,4,4,3,4,5,4,4,5,3,4,1,4,5,1,4,4,4,2,4,3,4,5,4,5,2,5,5,7,7,3,3,3,4,1,7,5,7,5,3,2,2,5,2,,3,,6,,private,4,6,,2,300,1,3,1,3,1,0,642
R_exp8DRZUeDYWcnv,45,dallas,21,6,4,2,7,2,2,6,4,4,7,5,3,3,6,4,6,4,7,4,6,1,4,7,6,5,5,6,7,6,5,7,6,5,6,6,7,6,5,3,6,5,7,7,5,5,3,3,1,6,5,5,5,3,4,5,2,,"3,4,7",,6,,private,1,10,,2,300,1,7,1,3,1,1,850
R_1jg1GF8QJlJD597,33,Lewiston,66,4,5,2,6,4,4,6,3,5,5,6,3,4,3,5,4,5,4,3,5,3,6,5,5,6,4,5,5,4,6,5,4,7,6,4,6,5,6,5,4,6,5,5,6,6,2,5,4,5,5,4,6,1,4,5,1,,2,,6,,retire,3,10,,2,15000,1,2,3,2,0,1,1352
R_11dyqHMhgTaSwxN,33,Schenectady ,30,4,4,1,5,5,3,4,4,4,3,5,3,5,3,4,4,4,4,4,5,3,4,4,5,4,3,2,5,3,5,5,3,4,3,4,4,5,4,4,4,3,2,3,5,4,7,4,6,5,5,5,5,0,6,5,2,,3,,2,,unemploy,1,11,,2,2000,1,7,1,3,0,1,1470
R_2c5ZQ78L6WqWQ0W,45,El Paso,67,5,3,2,6,7,2,7,6,5,7,7,6,6,2,6,2,2,6,2,6,2,2,5,6,6,2,2,4,7,6,5,2,2,2,2,5,2,6,2,4,2,6,4,1,6,3,4,6,5,5,5,3,2,3,5,1,,4,,4,,private,2,6,,1,2000,2,2,1,4,3,0,1238
R_x64Ua6D1lKhzvJn,33,new york,26,5,6,7,6,2,4,5,6,2,2,1,2,2,2,2,2,2,2,2,2,5,3,4,3,5,4,5,2,3,3,1,3,4,5,5,3,5,5,6,4,4,6,4,1,3,6,5,6,6,6,5,6,2,6,5,2,,3,,6,,gov,2,10,,1,700,2,4,1,3,1,1,2192
R_8BAkMPkEChTzi1P,45,El Paso ,65,3,4,5,6,4,4,5,3,2,2,3,6,2,6,2,1,3,2,2,2,2,2,2,2,3,3,3,1,2,2,6,6,6,6,6,2,6,6,2,2,2,4,4,6,4,2,2,4,2,6,6,4,3,2,5,1,,1,,8,,gov,1,12,,3,2500,1,1,2,3,2,0,805
R_Q5DUv4KFRvblopr,33,larchmont,25,6,5,4,5,5,3,5,4,4,2,2,2,5,2,6,3,3,6,2,6,2,2,5,4,4,4,4,3,5,3,5,4,5,5,4,5,5,4,5,5,4,5,2,6,4,5,3,5,3,6,4,4,1,2,5,2,,4,,4,,unemploy,1,3,,2,500,3,4,1,4,1,1,938
R_1PTOuNdqAj2e6tb,45,Houston,42,6,3,2,6,1,1,7,6,2,2,3,2,3,4,2,4,5,3,4,3,3,3,2,3,2,4,4,2,6,3,4,4,4,3,6,5,4,6,5,5,4,4,2,4,2,4,2,1,4,5,3,5,1,2,5,1,,3,,6,,private,2,10,,1,1750,2,4,3,3,3,0,21146
R_4ITcG2lwIivb9Rv,33,Bronx ,42,5,5,5,3,3,3,3,5,3,3,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,2,,4,,2,,other,2,1,,2,100,1,2,2,4,1,0,660
R_3kttEYDhEwUuYzs,45,Irving,44,2,2,2,2,5,3,7,5,1,2,2,1,2,3,2,7,4,7,4,3,6,7,7,3,7,3,2,2,5,2,6,7,2,7,7,3,5,7,3,5,5,6,2,5,6,5,1,1,7,7,3,1,0,7,5,2,,2,,5,,other,1,3,,3,400,2,6,1,3,1,0,1228
R_Zav43F4f2inrsUp,45,Mission,41,6,4,2,4,3,2,6,2,2,2,3,5,2,2,3,6,6,3,4,2,4,3,2,2,4,4,2,3,2,3,5,2,5,4,4,2,2,6,5,2,2,4,3,6,5,5,2,4,3,7,6,5,1,2,5,1,,"1,4",,5,,gov,2,12,,1,2500,2,2,3,3,2,0,2553
R_3fTYs73iXjPcAkM,45,Harker Heights,72,7,6,1,6,2,2,4,4,4,4,4,2,5,1,4,3,2,5,5,5,1,1,4,4,4,3,2,2,1,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,5,7,3,3,7,4,6,1,1,5,1,,3,,5,,retire,3,7,,1,2000,1,4,3,4,1,0,931
R_3MJvNJMK874fkxT,33,Hartsdale ,52,6,5,5,7,2,4,3,4,3,2,3,4,3,3,4,4,2,6,2,6,1,3,6,3,5,4,5,4,5,4,6,2,2,2,3,2,2,7,6,6,4,4,5,6,4,6,3,1,4,5,2,4,1,1,5,2,,4,,5,,unemploy,2,9,,2,2000,2,4,1,4,1,1,816
R_1kFDhsFwa7bLF3C,45,san angelo,48,7,6,2,7,1,3,7,3,5,3,5,4,3,3,1,6,6,7,3,2,3,3,1,3,3,2,6,2,1,3,2,2,7,1,5,3,2,1,6,7,1,1,2,7,2,4,1,1,4,7,1,7,0,1,5,1,,"1,7",,6,,handi,3,4,,2,800,1,5,3,5,1,0,869
R_31oYVh890XJf8oS,33,Richmond ,42,6,5,2,4,4,4,4,3,3,4,3,3,4,3,3,4,4,3,4,5,3,3,4,5,4,3,3,3,4,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,3,5,6,5,3,5,6,5,2,6,5,2,,2,,6,,private,2,7,,2,250,1,3,1,3,1,0,655
R_BYaEznEdLYUbuW5,45,Houston,30,4,2,2,6,2,2,3,6,2,2,4,3,2,4,3,6,3,3,3,3,5,4,3,2,2,6,2,2,1,3,3,6,6,2,5,4,2,5,5,4,3,5,3,5,4,1,2,3,2,5,5,5,1,2,5,1,,3,,8,,unemploy,1,10,,2,2000,1,1,2,4,1,0,968
R_1IYlGXYqqtThOXv,45,Fort Worth,44,6,3,2,6,2,3,5,6,3,3,4,3,4,5,3,5,3,5,3,5,5,5,4,4,6,5,5,4,5,3,3,4,6,3,3,4,6,5,4,4,6,1,3,4,2,3,1,2,3,6,5,2,1,1,5,1,,3,,4,,private,1,9,,1,350,2,6,1,3,3,0,1084
R_1eXDzYrnyAJLEEY,33,Brooklyn,29,6,4,6,5,7,6,4,1,4,5,5,5,5,3,4,3,1,5,4,7,1,7,6,5,1,3,1,5,7,6,5,6,3,5,1,6,7,4,5,5,4,1,6,3,2,6,3,3,2,5,1,2,2,4,5,2,,3,,6,,private,1,8,,2,2800,1,4,3,4,0,0,388
R_23VRLyE4Rr6qVUS,45,Fort Worth,43,7,6,1,7,7,1,7,7,2,2,7,5,4,4,4,7,6,2,5,2,2,6,2,2,2,6,6,2,2,2,2,1,7,1,7,5,2,4,5,5,4,7,4,7,4,7,2,2,2,6,5,6,5,2,5,2,,8,,2,,private,1,1,,2,800,1,7,3,5,0,0,1087
R_22WvggCvLkd4p3W,45,Houston ,33,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,1,7,7,7,1,1,1,7,7,7,3,1,5,2,,3,,6,,self,1,10,,1,10000,1,1,1,1,1,1,401
R_2aM3ZNRQiGq0Fmx,33,Springfield Gardens,35,7,4,1,6,1,2,3,4,3,4,3,3,3,3,4,3,2,7,2,7,4,4,2,2,4,2,2,2,4,2,4,2,4,6,2,2,6,7,4,5,2,5,4,5,6,4,1,6,4,4,6,6,2,6,5,2,,3,,5,,private,1,6,,2,30000,1,4,1,3,1,0,854
R_1kSUt6tUqqWEQGQ,45,Killeen,40,5,6,3,6,6,3,5,3,5,6,5,4,4,3,5,6,6,5,4,6,5,5,6,4,5,5,6,4,5,5,5,3,5,6,5,4,4,5,5,4,5,5,6,5,3,5,5,6,6,5,6,5,2,6,5,2,,2,,6,,homemaker,2,8,,1,3000,2,5,1,3,2,0,641
R_2eWoSTQVmUVSBex,33,New york city,35,6,6,1,6,2,3,2,2,5,5,4,5,5,5,4,6,5,3,4,5,3,4,5,6,3,3,5,6,4,3,4,2,3,4,3,5,3,6,5,5,6,3,6,6,5,4,1,5,6,3,5,5,3,4,5,1,,2,,6,,other,2,8,,2,1900,2,4,1,4,1,0,898
R_1ruz1HqbQPyrCKE,33,FarRockaway ny,50,7,4,4,7,4,5,4,5,5,4,5,3,4,4,2,4,5,6,5,4,3,3,2,2,5,4,5,4,4,3,5,6,4,4,2,5,2,5,4,2,6,6,4,3,4,4,4,4,4,4,4,4,3,4,5,2,,3,,3,,private,1,6,,2,2000,1,4,1,4,1,0,421
R_0AFCBBoEieHT3jj,33,fulton,34,6,5,2,7,4,2,5,5,5,4,5,5,4,4,4,5,4,5,5,3,5,5,4,5,5,4,4,5,6,5,5,5,6,6,6,5,4,6,6,5,4,6,4,5,5,6,4,6,2,5,5,7,1,1,5,1,,3,,6,,private,1,13,195000,1,5000,3,3,3,2,2,1,378
