time,sub,lang,state,city,sdacown,sdacee,sdacee2x,sdacnotnec,sdacwant,sdacss,sdacnotworth,sdacqol,sdacnotbad,siwastee,sidivest,sirenslow,sirenair,siglobal,siccdrastic,sisoc,sicccit,siccgov,siccrich,siccind,sicclux,sieeworth,siwestcut,siev,sisolar,sisolarenv,sifoodwaste,simeat,sidevair,siairpol,sinewbldg,sirenter,siweststd,sirichstd,sisuccess,sicomfort,sisaving,siwaste,dacown,dacee,dacee2x,dacnotnec,dacss,dacnotworth,dacqol,dacnotbad,pacee2x,pacnotnec,pacss,pacnotworth,pacqol,pacnotbad,bacvsother,bpayeeac,bpubtrans,age,gender,edu,employ,marital,caste,income,incometext,home,monthlyexp,n4wheel,n2wheel
1023,R_12MxsaVpNHu9G0z,EN,14,Mumbai,5,3,2,3,7,5,7,4,3,4,5,5,6,4,4,5,4,5,4,4,3,5,4,2,2,4,6,4,5,3,5,5,2,5,5,4,3,5,5,3,1,1,5,2,5,3,3,4,3,5,3,3,3,2,5,28,1,8,self,2,general,7,,1,60000,2,4
645,R_vHvk3RZEHGMzIKR,EN,32,new delhi,3,4,3,4,6,5,4,5,4,5,5,3,6,3,4,4,4,5,4,6,4,3,5,6,3,4,2,4,2,5,6,5,6,6,4,5,2,6,5,3,3,3,5,3,6,3,5,3,6,4,6,4,5,1,5,35,2,7,private,2,general,6,,1,10000,1,1
1985,R_242eD6NR1acdS5M,EN,14,MUMBAI,3,6,3,2,5,6,3,6,7,5,6,6,6,5,5,1,2,7,1,6,1,2,2,2,5,5,6,1,1,3,5,7,5,6,2,2,5,7,5,5,5,2,5,2,5,7,6,1,7,1,7,7,2,1,2,24,1,9,private,1,general,4,,1,7000,1,1
827,R_PSD8PuBB9XKIwgN,EN,32,DELHI,6,6,2,2,6,6,3,6,4,4,5,5,6,6,6,6,5,6,6,6,6,5,3,6,6,5,6,5,6,4,6,6,6,5,6,6,5,6,7,5,5,6,6,6,6,6,7,7,7,7,7,7,7,3,7,34,2,9,private,2,general,4,,1,35000,2,1
762,R_6KZj7ThToFyVH8t,HI,32,Delhi ,2,5,5,5,6,7,6,6,4,3,6,6,6,6,5,2,3,7,4,6,6,6,6,2,2,2,2,6,5,2,6,7,6,7,5,4,4,4,7,6,5,3,6,6,5,6,7,2,6,6,6,1,3,2,5,42,2,3,housewife,2,general,6,,1,20000,2,2
560,R_3NBXBJhii3nLmT1,EN,14,pube,3,4,7,5,5,7,5,3,3,4,6,4,4,2,4,5,4,7,4,4,5,2,7,4,1,4,1,4,1,7,4,4,7,5,6,3,4,7,6,7,6,3,7,6,7,6,4,7,7,7,3,5,1,3,5,19,2,6,student,1,general,7,,3,15000,1,3
580,R_2Qik5nqGrIufEvq,EN,32,New Delhi,4,3,2,2,6,6,2,4,1,2,1,3,2,5,1,1,7,2,6,4,2,3,4,2,1,2,5,2,1,1,3,4,7,7,2,5,5,1,5,5,1,2,4,1,4,7,7,5,1,4,1,1,1,3,7,21,1,6,private,1,general,3,,2,20000,1,0
728,R_Os1YH9lHu4oxz7X,EN,32,Delhi,7,6,6,6,7,7,5,6,7,7,7,7,6,7,6,7,7,6,7,7,5,7,7,5,7,7,7,7,5,7,7,6,7,6,6,6,6,7,6,6,6,7,7,7,5,7,7,7,7,7,7,6,7,4,7,34,2,8,self,2,general,7,,1,10000,1,1
1249,R_2X09KPIEVuQ2YPb,EN,14,Mumbai,3,6,2,3,5,2,3,3,3,6,6,2,6,2,6,2,2,6,2,6,2,2,4,6,6,2,1,5,2,6,6,2,4,3,3,2,2,6,5,6,4,2,2,2,6,5,5,3,3,3,6,6,4,1,7,54,1,7,self,1,general,6,,1,20000,0,0
1179,R_290QutV6mDUa1za,EN,32,New Delhi,7,4,3,2,6,6,2,5,6,4,2,4,7,2,3,4,2,5,2,6,3,2,3,6,2,5,2,3,5,6,3,4,6,6,2,4,2,7,7,5,2,3,7,2,7,2,5,3,6,2,6,5,2,1,3,45,2,8,private,2,general,3,,1,30000,1,1
1487,R_6gvhVCDeXg6IHVT,EN,14,Mumbai,7,5,5,6,6,6,6,6,4,4,7,4,7,3,5,2,2,6,2,5,5,5,6,4,5,6,2,5,3,7,6,5,7,7,6,6,2,7,7,3,3,3,7,5,7,3,5,6,7,6,7,3,1,1,5,36,2,8,private,2,general,6,,1,30000,1,2
554,R_DNx4E6eXouqqfjb,EN,32,Delhi,6,7,4,2,5,5,5,6,3,6,6,6,5,4,3,6,7,4,7,5,5,5,5,6,6,5,5,3,5,7,5,5,7,5,6,6,5,5,5,6,6,2,6,6,6,2,6,5,5,6,5,2,5,2,5,40,1,8,other,2,general,6,,1,10000,1,2
1475,R_2s4QKGGZCDSiM0I,EN,32,Delhi,5,5,3,3,5,2,5,5,5,2,2,3,3,1,2,6,3,3,2,2,1,3,2,3,5,4,5,2,3,2,4,4,6,5,6,3,3,2,6,5,5,4,2,2,4,4,6,3,1,3,3,3,5,2,2,36,2,9,private,2,obc,7,1500000,1,20000,2,2
509,R_1f30y35vPlaJj7e,EN,32,New delhi,7,7,7,2,6,3,4,7,6,6,6,7,6,3,6,6,2,5,6,6,3,3,4,5,5,4,5,5,6,6,7,2,6,7,4,7,5,7,5,6,6,3,6,2,6,6,6,3,7,2,7,2,3,1,1,32,2,8,private,1,general,7,1200000,1,800000,1,0
1662,R_9yM2DiKkuRxjy6t,EN,14,Mumbai,6,4,4,3,6,7,3,6,6,6,4,4,4,2,2,2,2,5,2,6,2,2,6,5,5,3,3,5,2,3,6,3,6,6,2,6,2,3,6,5,5,1,6,2,6,6,5,2,6,2,6,6,5,2,3,61,1,8,private,2,general,7,2500000,1,25000,1,0
1137,R_2au1LjgzXiGMXL3,EN,32,delhi,5,6,6,2,6,5,2,6,4,6,6,6,6,2,5,5,2,7,6,2,6,2,6,7,5,7,1,6,6,5,5,2,5,5,2,5,2,1,5,6,5,2,6,7,5,6,6,3,5,2,6,1,7,2,5,39,2,8,gov,2,obc,6,,1,40000,1,1
619,R_POGGnJFSsc5TigN,HI,14,Nagpur,2,6,3,2,7,4,2,3,2,1,2,5,1,4,4,2,4,5,3,5,4,2,4,4,3,2,2,6,1,6,4,3,4,7,6,5,3,3,2,3,3,2,3,5,3,1,5,4,5,6,5,6,6,1,5,28,1,4,self,1,sc,1,,1,5900,0,1
872,R_vN22vQPAcewZHyN,EN,32,Delhi,5,3,2,2,3,5,2,5,3,3,4,2,3,2,3,2,2,5,3,3,2,2,3,2,3,3,2,2,5,3,5,2,6,5,2,3,2,4,5,3,4,3,5,4,3,2,4,4,5,3,5,3,4,1,5,56,1,5,private,2,obc,6,,1,7000,1,1
1794,R_3dXhsGHFlC8rED1,HI,32,DELHI,5,5,5,6,6,7,4,5,4,6,4,2,5,2,2,3,4,5,4,5,2,2,2,6,2,5,5,2,3,7,3,7,4,6,2,5,6,6,6,4,5,2,6,4,4,2,7,4,5,4,4,2,1,1,5,50,1,8,private,2,general,7,,1,45000,1,2
1478,R_3JJZEMrvsYltcwF,EN,32,Delhi,4,4,3,2,7,3,2,4,7,1,4,3,2,4,2,4,2,7,6,2,4,2,2,3,2,4,7,3,5,2,4,4,4,7,2,7,4,7,6,5,6,2,4,6,5,6,3,2,2,5,4,4,1,1,6,19,2,7,unemploy,1,general,1,,1,10000,0,1
522,R_3kzUygx1ErUrrGx,EN,32,Delhi,6,6,5,6,6,5,6,6,5,6,6,5,6,6,5,5,6,6,5,6,6,6,6,6,5,6,5,6,5,6,6,5,6,5,5,6,6,5,7,7,6,5,7,6,7,6,6,7,6,7,7,7,7,4,7,37,2,8,self,2,general,3,,1,1,1,1
1088,R_3DeHuhJZ3LinH2l,HI,14,Pune,3,2,3,1,4,2,2,1,1,1,4,2,3,4,1,2,3,6,1,1,3,1,3,3,6,3,2,2,3,6,6,3,2,2,1,2,1,4,4,6,5,2,2,2,3,2,5,4,3,4,4,2,5,1,6,21,1,8,self,2,general,6,,1,50000,1,2
1663,R_2fj2pYfeEq069Ws,EN,14,Mumbai,5,5,6,3,4,6,4,4,5,4,3,3,4,4,4,5,3,5,3,2,3,3,3,4,3,4,5,3,1,2,5,5,7,7,4,6,3,5,6,5,5,3,4,2,6,5,4,6,5,5,4,4,5,1,2,26,1,7,private,1,sc,6,,1,20000,0,2
507,R_3iJqA5aArjHY9Oh,EN,14,Mumbai,5,7,4,2,7,7,4,6,2,4,2,5,2,4,6,2,3,4,2,3,5,4,1,4,3,3,1,4,5,5,4,6,5,5,3,3,5,5,3,3,4,4,5,4,4,4,3,4,4,6,3,4,4,2,3,30,1,8,private,2,general,3,,1,5000,1,2
1257,R_p6J6jFZDiTcrqZX,EN,32,Dehli,6,7,1,4,4,7,2,7,6,7,5,5,7,6,5,6,5,7,7,5,7,5,7,6,5,5,2,4,5,4,6,5,7,7,7,7,6,4,3,3,6,2,6,7,7,7,6,3,6,6,7,2,4,4,6,29,2,8,self,2,obc,7,99999,1,30000,1,3
1114,R_wXCZ5rUUNx0EsFP,EN,32,New Delhi,7,6,6,5,6,7,7,6,7,7,6,6,6,6,7,6,5,6,6,6,5,6,5,6,7,6,5,5,7,6,7,6,7,6,6,7,6,6,7,6,6,5,7,7,7,7,6,5,6,7,7,7,6,2,6,40,1,9,private,2,obc,7,1500000,1,50000,2,1
897,R_2AKjOm6mqkG1gbF,EN,14,Thane,2,2,2,7,3,2,6,6,2,6,5,1,2,2,2,3,6,5,2,6,1,6,6,7,5,6,1,2,2,3,6,1,1,6,6,6,2,7,3,5,4,3,3,3,3,3,5,5,5,5,2,5,1,1,4,30,1,6,private,1,general,5,,1,20000,0,2
834,R_2OJATTmsn4mqPrp,EN,32,New delhi,6,6,2,3,6,7,4,3,4,2,2,4,5,3,4,5,4,5,2,4,4,2,3,5,2,4,2,6,4,4,4,2,6,6,3,6,3,2,6,2,3,7,6,2,5,3,5,3,5,5,6,2,5,1,6,25,2,7,self,2,general,5,,1,20000,1,1
665,R_1fdcUgPa8IHFdHJ,HI,14,Mumbai,5,4,5,6,6,7,4,5,4,7,7,6,6,4,7,7,1,7,2,6,2,2,6,7,7,2,2,7,6,7,7,5,5,6,4,7,3,2,7,6,6,3,6,2,7,5,7,6,5,3,5,6,7,3,7,40,1,7,private,2,sc,6,,1,20000,1,2
853,R_12KIgpzASNXr600,EN,32,JanakPuri,3,6,2,6,5,6,4,5,4,4,5,6,6,2,2,3,7,5,2,6,4,5,3,4,6,6,4,3,5,5,6,2,7,6,2,6,2,5,5,3,3,2,5,5,5,2,5,6,2,5,2,3,2,2,6,19,1,6,student,1,general,3,,1,20000,1,0
908,R_3LklyhJIeMzi1sy,EN,32,Delhi,7,7,7,4,7,7,6,7,6,5,7,4,6,6,7,3,4,7,6,6,5,6,6,6,6,7,6,4,4,6,7,6,6,6,7,5,4,4,6,7,5,5,6,6,7,5,5,3,6,3,6,3,7,3,6,49,2,8,self,2,general,6,,1,15000,2,1
725,R_2YSvq8fY3MokbxP,EN,14,Mumbai,2,2,2,3,6,4,3,5,3,2,3,6,2,6,2,6,5,4,6,2,6,6,2,3,2,4,3,3,2,6,2,6,6,6,2,6,4,4,5,4,4,3,3,3,5,3,3,1,1,1,6,2,2,1,2,40,1,7,self,2,general,6,,1,20000,1,0
1803,R_2c5wKxu8zkk6ohL,EN,14,Mumbai,7,7,7,2,7,7,7,7,2,2,7,3,7,1,6,2,1,2,1,2,1,7,2,7,2,2,1,2,7,4,7,2,7,7,4,7,2,2,7,7,5,4,7,6,7,4,5,4,6,5,6,5,5,3,4,54,2,8,private,2,general,6,,1,50000,1,1
911,R_zUNAsPO01TXgDSN,EN,32,Delhi,3,7,5,2,7,7,4,5,3,7,4,3,7,2,5,5,2,7,2,6,4,2,5,6,4,4,2,6,6,6,6,3,3,6,2,2,4,4,6,5,5,2,5,3,6,5,5,3,6,2,6,3,3,2,5,25,1,7,private,1,general,6,,1,30000,1,2
559,R_3NyLUj7Kj85Foo5,HI,14,Mumbai,7,6,6,2,6,7,2,7,2,2,7,7,7,2,2,7,2,7,7,7,7,2,7,7,7,2,2,2,7,7,7,2,7,7,2,7,2,2,7,7,7,2,7,2,7,7,7,6,7,6,7,6,7,4,7,38,2,9,self,2,obc,5,,1,10000,2,1
1436,R_ctKHlpYiEIdQFtn,EN,32,Delhi ,5,5,2,4,6,4,3,6,6,6,3,2,7,1,2,5,6,6,6,6,3,3,3,2,2,6,3,2,6,3,6,2,4,6,2,6,2,5,5,5,5,2,6,5,6,2,6,2,6,2,6,3,3,3,3,36,2,8,private,2,general,6,,1,30000,1,2
1252,R_2zA9zTYM1vvyESh,EN,32,New Delhi ,4,4,3,3,5,4,2,3,3,2,3,2,3,1,4,1,2,4,4,3,1,3,3,3,3,4,2,2,1,4,4,1,4,4,2,2,2,3,5,5,5,5,5,5,3,5,6,5,7,5,6,5,2,1,6,20,1,7,self,1,general,6,,1,25000,1,1
1340,R_25sFxlm4vhw5gJd,EN,14,mumbai,6,2,4,2,7,7,2,7,4,5,2,4,4,3,3,6,5,7,5,5,6,4,2,5,4,7,2,3,1,5,5,2,7,6,7,6,2,6,7,5,5,4,7,2,7,4,7,2,2,1,7,1,1,1,7,36,1,7,private,2,general,7,,1,35000,1,1
513,R_6SDoaGZ5e0pK6lz,EN,14,Pune,6,7,2,5,6,5,4,6,3,6,3,2,6,2,3,6,2,7,3,4,3,2,6,4,5,2,2,4,3,6,7,3,2,4,3,2,2,7,2,5,5,4,6,3,5,6,3,4,4,5,6,4,5,2,5,25,1,9,private,1,general,6,,1,5000,1,2
1278,R_3MoNRvCxNQd9A7s,EN,14,Pune city ,7,7,7,3,2,6,4,7,4,1,2,5,6,7,5,4,7,7,5,6,7,5,7,7,5,5,3,3,6,7,7,6,7,7,5,7,6,7,6,7,6,4,2,4,6,6,7,5,7,5,6,6,7,0,6,45,1,4,private,4,general,2,,1,10000,2,4
754,R_1dtoBDnB27RGCr6,EN,14,Mumbai,2,1,1,4,1,7,4,4,2,4,4,5,4,4,3,1,5,6,1,7,4,4,4,3,4,4,1,2,1,4,6,3,1,7,7,4,1,4,4,4,4,4,6,4,4,4,4,4,6,2,6,4,4,0,6,48,1,7,private,2,general,6,,1,20000,0,0
712,R_0TEtTAFg0oKhCDf,EN,32,Delhi,6,5,4,1,7,7,1,7,6,6,6,2,6,2,6,2,2,5,4,5,3,3,2,6,4,2,2,6,2,6,5,3,7,7,2,4,3,4,7,6,7,1,6,3,6,3,7,2,6,1,7,2,6,3,3,30,1,8,private,2,general,7,3000000,1,20000,2,0
575,R_eFlNR2wJwooF8DD,EN,32,Delhi ,1,6,5,1,2,2,2,7,1,5,6,4,7,3,7,3,6,5,3,5,5,5,5,4,5,6,3,4,5,3,5,6,5,4,4,5,6,2,5,4,3,4,3,6,5,5,4,4,2,1,5,4,7,2,6,38,2,8,self,2,obc,3,,1,50000,1,1
900,R_1C9gIMijsr0kTcc,EN,14,mumbai,2,2,2,5,5,6,5,2,2,3,4,2,5,2,5,5,3,6,2,7,2,2,4,4,5,3,2,5,1,3,6,5,2,5,3,3,2,5,5,5,2,3,5,2,5,4,3,4,5,2,6,1,1,2,3,40,1,8,private,2,general,7,,1,45000,2,0
1150,R_3KBLWPjoM72uLkG,EN,14,Pune,3,3,4,2,3,2,2,3,2,3,5,3,6,2,5,2,1,6,1,6,4,2,1,6,5,4,2,2,2,6,5,3,5,6,2,3,3,3,5,5,5,1,2,2,3,2,7,7,1,1,1,6,1,2,7,19,1,7,student,1,general,2,,1,8000,1,1
992,R_24IrUGywVwadMkD,EN,32,Shalimar bagh,5,5,6,3,4,6,4,3,3,6,6,6,4,6,6,6,4,6,3,5,6,7,4,4,5,4,6,5,7,4,4,4,6,6,6,5,7,6,5,7,6,6,7,3,5,6,6,6,7,6,6,4,2,3,6,29,1,8,gov,2,obc,5,,1,10000,0,1
1253,R_2SGoz8wntGNP12X,HI,32,दिल्ली ,6,5,5,1,5,5,3,5,5,3,7,1,7,1,3,2,2,7,3,6,1,2,1,6,7,1,1,1,3,7,4,3,7,7,3,3,1,3,7,6,5,1,7,5,5,6,6,2,7,2,6,2,6,4,2,24,1,4,student,1,st,5,,1,17000,1,1
1108,R_UFlAhmwWUayHCud,EN,32,New Delhi,7,6,6,2,7,6,2,7,7,6,6,3,6,3,3,3,3,7,3,5,3,4,4,5,4,3,2,3,3,3,6,3,6,5,3,5,3,6,7,5,5,1,6,1,6,6,5,1,7,2,7,4,4,2,4,35,1,8,private,2,general,7,,1,22000,2,1
1629,R_1d4f82hpFgnDYIH,EN,32,delhi,2,3,4,2,6,6,4,3,6,6,5,4,4,4,4,5,5,4,5,5,5,4,3,5,4,4,4,5,5,5,4,3,4,4,5,6,5,5,5,6,5,2,6,4,5,5,6,4,6,3,7,5,6,2,4,28,1,8,private,2,general,7,500000,1,10000,2,2
696,R_1LMeuxTHSp5tJlB,EN,14,Akola,5,3,3,3,4,4,3,3,2,4,5,6,5,4,6,2,6,6,2,7,4,5,5,3,6,5,2,6,4,6,3,5,3,7,5,5,4,6,4,5,3,4,2,4,1,3,4,6,5,1,4,5,3,1,4,21,1,5,private,4,none,3,,1,3000,1,1
1082,R_3338VMNWI8Zhzew,EN,14,Mumbai,5,5,7,2,4,5,2,6,6,5,5,2,6,2,2,4,2,1,2,5,3,2,4,6,4,2,1,2,1,2,6,2,6,6,2,5,1,3,6,5,5,3,3,3,6,6,5,3,2,3,5,6,3,1,5,26,1,7,private,1,general,6,,1,7000,1,1
1322,R_2rMGQoZ8CfmIrcy,EN,32,delhi,6,6,6,2,6,7,2,7,4,7,7,1,7,2,7,2,2,7,7,7,7,1,7,7,7,6,2,4,4,7,7,7,3,7,4,2,2,6,7,7,4,1,4,2,7,4,6,5,6,5,6,3,3,2,6,38,1,9,self,1,general,6,,2,20000,1,0
2644,R_Zxw6Sub9G3ywBWh,EN,14,Nagpur,2,2,2,3,2,2,5,2,4,5,5,5,5,2,3,7,5,6,5,6,3,6,5,6,6,7,2,4,3,6,4,5,5,6,5,4,5,6,5,5,5,2,5,3,5,5,5,2,4,2,6,5,5,1,2,50,1,8,self,2,obc,6,,1,35000,1,2
1078,R_11dpVo22E3x8ztk,EN,32,New Delhi,5,5,5,5,4,4,5,4,4,5,5,5,5,4,5,4,3,4,4,6,5,4,5,6,5,4,5,5,5,4,5,5,6,4,4,5,4,5,4,5,5,5,6,6,6,5,3,5,3,4,4,5,2,1,2,34,1,8,private,2,obc,6,,1,75000,1,1
812,R_xuyNEEPp543UhqN,EN,14,Mumbai,2,2,2,3,4,2,5,2,3,5,5,2,5,2,2,7,5,5,6,6,5,5,7,3,5,5,4,2,1,3,5,6,7,6,1,6,2,5,6,5,5,1,5,2,6,2,5,6,6,5,6,1,3,1,3,24,1,7,private,1,general,6,,1,20000,1,2
655,R_3gSptpjbx1fNZDZ,HI,32,Delhi,6,6,7,6,6,7,7,7,6,6,7,6,7,6,6,6,6,5,6,6,7,6,6,6,6,5,5,7,7,6,7,7,6,6,6,6,6,6,6,6,6,2,6,6,7,6,6,2,7,5,7,6,7,1,6,25,1,7,self,1,general,5,,2,10000,1,1
